Player,TEAM,AGE,GP,W,L,MIN,%FGA,%FGA,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,%PTS,2FGM,2FGM,3FGM,3FGM,FGM,FGM
Darrun Hilliard,DET,23,37,19,18,9.5,61.9,38.1,51.3,26.5,31.9,12.4,16.8,12.4,24.8,44.8,55.2,91.7,8.3,58.5,41.5
David Lee,SAS,33,77,58,19,18.6,100,0,86.4,10.2,0,10.6,13.6,11.8,76.2,69.8,30.2,0,0,69.8,30.2
David Nwaba,LAL,24,18,4,14,19.1,92.8,7.2,75.2,2,3,27.7,21.8,35.6,73.3,60.5,39.5,100,0,61.5,38.5
David West,GSW,36,66,55,11,12.5,96.7,3.3,83,35.3,2.9,5.6,14.1,12.1,47.7,79.5,20.5,100,0,80,20
Davis Bertans,SAS,24,65,51,14,12,26.7,73.3,22.4,4.8,68.4,11.6,9.2,14.6,17.7,75.8,24.2,95.5,4.5,89,11
DeAndre' Bembry,ATL,22,37,20,17,9.2,82.6,17.4,93.6,10.6,0,22.3,6.4,9.6,83,70.5,29.5,0,0,70.5,29.5
DeAndre Jordan,LAC,28,79,49,30,31.8,99.6,0.4,79.8,0,0,9.9,20.2,12.1,79.8,72.4,27.6,0,0,72.4,27.6
DeAndre Liggins,CLE,29,61,39,22,12.3,66.9,33.1,48.6,4.2,35.4,18.8,16,13.9,44.4,45.7,54.3,94.1,5.9,61.5,38.5
Dejounte Murray,SAS,20,37,29,8,8.5,80,20,62.5,3.1,21.1,17.2,16.4,20.3,59.4,42.5,57.5,88.9,11.1,51,49
Delon Wright,TOR,24,26,18,8,16.1,74.3,25.7,52.5,1.4,19.1,18.4,28.4,25.5,51.1,13.5,86.5,55.6,44.4,21.7,78.3
DeMar DeRozan,TOR,27,74,47,27,35.4,92,8,68.1,30.5,4.9,9.3,27,12.8,37.6,18.8,81.3,84.8,15.2,21.8,78.2
DeMarcus Cousins,NOP,26,72,30,42,34.2,74.7,25.3,53.1,9.5,20.2,4.6,26.6,13.3,43.7,39.9,60.1,89.3,10.7,49.9,50.1
DeMarre Carroll,TOR,30,71,43,28,26.3,41.8,58.2,34.6,6.6,51.4,18.2,14,19.3,28,58.2,41.8,95.4,4.6,76.7,23.3
Demetrius Jackson,BOS,22,5,1,4,3.4,75,25,40,20,30,20,30,30,20,50,50,100,0,66.7,33.3
Dennis Schroder,ATL,23,78,41,37,31.5,75.7,24.3,63.3,19.3,21.3,10.2,15.4,16.5,44,20.9,79.1,67,33,29.4,70.6
Denzel Valentine,CHI,23,55,26,29,17.5,28,72,20,6.4,75,13.2,5,16.1,13.6,50,50,91.4,8.6,79.6,20.4
Deron Williams,CLE,32,62,25,37,25.6,61.2,38.8,51.5,24.4,35.2,6.4,13.3,14.5,27.1,21.3,78.7,75.3,24.7,38.2,61.8
Derrick Favors,UTA,25,49,32,17,23.8,97.6,2.4,83.8,22.6,1.9,1.9,14.3,10.7,61.1,79.1,20.9,100,0,79.4,20.6
"Derrick Jones, Jr.",PHX,20,31,7,24,16.5,92.9,7.1,79.7,5.1,3.8,24.1,16.5,24.1,74.7,66.7,33.3,100,0,67.7,32.3
Derrick Rose,NYK,28,64,26,38,32.5,93.9,6.1,77.5,21.7,3.4,17,19.2,11.7,55.8,21.7,78.3,69.2,30.8,23,77
