Player,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,2PM,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,DD2 RANK,TD3 RANK,+/- RANK
Dejounte Murray,SAS,20,37,29,8,8.5,3.5,1.3,3.1,42.6,0.2,0.6,1.1,39.1,0.6,0.8,70,0.2,1,1.1,1.3,1,0.2,0.2,0.8,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Delon Wright,TOR,24,26,18,8,16.1,5.4,1.8,4,43.8,0.3,1,1.4,33.3,1.5,2,78.4,0.5,1.2,1.8,2.2,0.9,1,0.4,1.2,0,0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,
DeMar DeRozan,TOR,27,74,47,27,35.4,27.3,9.7,20.9,46.7,0.4,1.7,9.3,26.6,7.4,8.7,84.2,0.9,4.3,5.2,3.9,2.4,1.1,0.2,1.8,5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
DeMarcus Cousins,NOP,26,72,30,42,34.2,27,9,19.9,45.2,1.8,5,7.2,36.1,7.2,9.3,77.2,2.1,8.9,11,4.6,3.7,1.4,1.3,3.9,46,2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,
DeMarre Carroll,TOR,30,71,43,28,26.3,9,3.1,7.7,40.2,1.5,4.5,1.5,34.4,1.3,1.6,76.1,0.9,2.9,3.8,1,0.7,1.1,0.4,2,2,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,
Demetrius Jackson,BOS,22,5,1,4,3.4,2,0.6,0.8,75,0.2,0.2,0.4,100,0.6,1.2,50,0.4,0.4,0.8,0.6,0,0,0,0,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Schroder,ATL,23,78,41,37,31.5,18,7,15.5,45.1,1.3,3.8,5.7,34,2.8,3.2,85.4,0.5,2.6,3.1,6.3,3.3,0.9,0.2,1.9,10,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,
Denzel Valentine,CHI,23,55,26,29,17.5,5.1,1.8,5.1,34.8,1.3,3.7,0.5,34.5,0.3,0.3,77.8,0.2,2.5,2.7,1.1,0.9,0.5,0.1,1.5,1,0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Deron Williams,CLE,32,62,25,37,25.6,10.6,4,9.2,43.2,1.2,3.6,2.8,34.8,1.4,1.7,83.7,0.2,2,2.2,5.6,2,0.5,0.1,2.1,3,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Favors,UTA,25,49,32,17,23.8,9.6,4.1,8.3,48.7,0.1,0.2,4.0,30,1.4,2.2,61.5,1.9,4.2,6.1,1.1,1.1,0.9,0.8,2.1,6,0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
"Derrick Jones, Jr.",PHX,20,31,7,24,16.5,5.1,2.1,3.6,58,0.1,0.3,#N/A,25,0.8,1.2,72.2,1.2,1.3,2.4,0.3,0.4,0.4,0.4,1.9,0,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Rose,NYK,28,64,26,38,32.5,18,7.2,15.3,47.1,0.2,0.9,7.0,21.7,3.5,4,87.4,1,2.8,3.8,4.4,2.3,0.7,0.3,1.3,2,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Williams,CLE,25,48,16,32,16,6.1,2.2,4.9,44.5,0.6,2,1.6,29.8,1.2,1.8,64.4,0.4,2.2,2.6,0.5,0.6,0.3,0.1,1.2,0,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Booker,PHX,20,78,24,54,35,22.1,7.8,18.3,42.3,1.9,5.2,5.9,36.3,4.7,5.7,83.2,0.6,2.6,3.2,3.4,3.1,0.9,0.3,3.1,0,0,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Harris,DAL,34,63,28,35,16.6,6.5,2,5.1,39.8,0.9,2.6,1.2,33.9,1.6,1.9,82.8,0.2,1.8,2,2,0.9,0.7,0.1,1.6,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Dewayne Dedmon,SAS,27,74,55,19,17.5,5.2,2.1,3.4,63.3,0,0,2.1,0,0.9,1.2,71.9,1.6,4.9,6.5,0.6,0.8,0.5,0.8,2.4,6,0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,
Deyonta Davis,MEM,20,35,23,12,6.5,1.7,0.7,1.3,52.2,0,0,0.7,0,0.3,0.5,55.6,0.5,1.1,1.6,0.1,0.2,0.1,0.5,1.1,0,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,
Diamond Stone,LAC,20,7,6,1,3.5,1.4,0.4,1.9,23.1,0,0,0.4,0,0.6,0.6,100,0.1,0.7,0.9,0,0.3,0,0.1,0.7,0,0,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,
Dion Waiters,MIA,25,46,27,19,30.1,15.8,6.1,14.4,42.4,1.8,4.7,4.3,39.5,1.8,2.8,64.6,0.4,2.9,3.3,4.3,2.2,0.9,0.4,2.1,2,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Dirk Nowitzki,DAL,38,53,23,30,26.4,14.1,5.4,12.4,43.6,1.5,3.9,4.0,38,1.8,2.1,87.3,0.4,6.1,6.5,1.5,0.9,0.5,0.7,2.1,8,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Domantas Sabonis,OKC,20,79,45,34,20.1,5.8,2.3,5.8,40.5,0.6,1.9,1.7,32.9,0.5,0.8,62.3,0.5,2.9,3.5,1,1,0.5,0.4,2.4,2,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Donatas Motiejunas,NOP,26,32,15,17,13.7,4.3,1.6,3.8,43.3,0.3,1.3,1.4,26.2,0.7,1.4,47.7,0.8,2.2,3,0.9,0.9,0.5,0.3,1.6,0,0,-3.2,,,,,,,,,,,,,,,,,,,,,,,,,
Dorian Finney-Smith,DAL,23,79,32,47,20,4.3,1.5,4,37.5,0.7,2.3,#N/A,29.7,0.6,0.8,75.4,0.7,2,2.7,0.8,0.5,0.6,0.3,1.5,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,
Doug McDermott,OKC,25,66,35,31,22.8,9,3.4,7.5,44.6,1.2,3.2,2.2,36.8,1.1,1.3,84.5,0.3,2.4,2.7,0.9,0.6,0.2,0.1,1.2,1,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Dragan Bender,PHX,19,42,13,29,13.1,3.4,1.3,3.6,36.7,0.7,2.2,0.7,29.8,0.1,0.2,30,0.5,1.8,2.4,0.5,0.8,0.2,0.5,1.6,1,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Draymond Green,GSW,27,75,62,13,32.6,10.3,3.6,8.6,42,1.1,3.5,2.5,30.9,2,2.8,70.9,1.3,6.6,7.9,7.1,2.4,2,1.4,2.9,17,5,11.1,,,,,,,,,,,,,,,,,,,,,,,,,
Dwight Howard,ATL,31,73,36,37,29.8,13.5,5.2,8.3,63.1,0,0,5.2,0,3,5.7,53,4,8.7,12.7,1.4,2.3,0.9,1.2,2.8,52,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,
Dwight Powell,DAL,25,75,29,46,17,6.6,2.5,4.8,52.9,0.2,0.8,2.2,29.3,1.3,1.8,74.4,1.2,2.8,4,0.7,0.4,0.8,0.5,1.7,2,0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,
Dwyane Wade,CHI,35,58,27,31,30.1,18.6,7,16.1,43.4,0.8,2.5,6.2,31,3.8,4.7,79.6,1.1,3.4,4.5,3.8,2.2,1.5,0.7,1.9,2,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,
Ed Davis,POR,27,46,19,27,17.2,4.3,1.6,3.1,52.8,0,0,1.6,0,1.1,1.8,61.7,2.1,3.2,5.3,0.6,0.8,0.3,0.5,3,3,0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Edy Tavares,ATL,25,1,1,0,3.6,2,1,1,100,0,0,2.0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,
Elfrid Payton,ORL,23,80,28,52,29.5,12.7,5.2,11,47.1,0.5,1.8,4.8,27,1.8,2.6,69.5,1.1,3.6,4.7,6.4,2.2,1.1,0.5,2.2,17,5,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Millsap,PHX,29,1,1,0,12,0,0,5,0,0,2,0.5,0,0,0,0,0,2,2,1,1,0,0,2,0,0,-6,,,,,,,,,,,,,,,,,,,,,,,,,
Emmanuel Mudiay,DEN,21,55,25,30,25.6,11,3.8,10,37.7,1,3.2,2.8,31.5,2.4,3,78.4,0.5,2.7,3.2,3.9,2.2,0.7,0.2,1.7,1,0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Enes Kanter,OKC,24,70,42,28,21.4,14.4,5.6,10.3,54.7,0.1,0.5,5.5,13.2,3.1,4,79.4,2.7,4,6.7,0.9,1.7,0.4,0.5,2.1,18,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Bledsoe,PHX,27,66,22,44,33,21.1,6.8,15.7,43.4,1.6,4.7,5.2,33.5,5.9,6.9,84.7,0.8,4.1,4.8,6.3,3.4,1.4,0.5,2.5,7,1,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Gordon,HOU,28,73,49,24,31.1,16.3,5.5,13.6,40.7,3.3,8.8,2.2,37.4,1.9,2.3,83.5,0.4,2.3,2.6,2.5,1.7,0.7,0.5,2,0,0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Ersan Ilyasova,ATL,29,80,34,46,26.4,13.1,4.7,10.9,43.1,1.8,4.9,3.0,35.4,2,2.5,77.6,1.4,4.5,5.9,1.7,1.4,0.7,0.3,2.6,10,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
E'Twaun Moore,NOP,28,72,31,41,25.1,9.7,3.9,8.6,45.8,1.1,2.9,2.8,37.2,0.8,1,77.8,0.4,1.7,2.1,2.3,0.9,0.7,0.4,1.8,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Fournier,ORL,24,66,22,44,33,17.3,6,13.7,43.9,1.9,5.3,4.1,35.5,3.3,4.2,80.3,0.7,2.5,3.1,3,2.1,1,0,2.7,1,0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Turner,POR,28,63,33,30,25.5,9,3.6,8.4,42.7,0.5,1.8,3.1,26.1,1.3,1.6,82.4,0.6,3.2,3.8,3.1,1.5,0.8,0.4,1.9,2,0,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Kaminsky,CHA,24,73,31,42,26.1,11.8,4.3,10.7,40.6,1.6,4.7,2.7,33.5,1.6,2.1,76,0.8,3.8,4.6,2.1,1,0.6,0.5,1.9,4,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Fred VanVleet,TOR,23,36,24,12,7.6,2.8,1,2.9,35.6,0.3,0.8,0.8,39.3,0.5,0.6,85,0.1,0.9,1.1,0.8,0.4,0.4,0.1,0.9,0,0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Temple,SAC,30,64,24,40,26.6,7.8,2.8,6.6,42.1,1.3,3.4,1.6,36.7,0.9,1.2,78.4,0.5,2.3,2.8,2.5,1.2,1.3,0.4,2.2,0,0,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Harris,DEN,22,56,28,28,31.2,14.8,5.6,11.2,50.1,1.8,4.4,3.7,41.5,1.8,2.3,78.1,0.8,2.2,3,2.8,1.3,1.3,0.1,1.6,0,0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Neal,ATL,32,2,1,1,9.2,2,0,3.5,0,0,1,0.0,0,2,2,100,0,0.5,0.5,0.5,0,0,0,0.5,0,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Gary Payton II,MIL,24,4,1,3,16.5,4.3,1.8,4.5,38.9,0.3,1.8,#N/A,14.3,0.5,0.8,66.7,0,1.3,1.3,2,1.8,0.8,0.5,1.5,0,0,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,
George Hill,UTA,30,47,31,16,32,16.9,5.9,12.6,47.1,1.9,4.8,4.0,39.3,3.2,4,80,0.5,3,3.5,4.1,1.8,1,0.2,2.4,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,
Georges Niang,IND,23,23,11,12,4,0.9,0.4,1.6,25,0,0.5,0.3,8.3,0.1,0.1,100,0.1,0.7,0.7,0.2,0.2,0.1,0,0.3,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Georgios Papagiannis,SAC,19,20,6,14,15,5.3,2.4,4.4,55.2,0,0.1,2.5,0,0.5,0.5,90,1.1,2.9,3.9,0.8,0.9,0.2,0.8,2,2,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Green,BOS,31,46,31,15,11.2,5.3,1.9,4.7,41,0.8,2.2,1.2,35.9,0.6,0.8,78.4,0.3,1.4,1.7,0.7,0.5,0.2,0.2,1,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Henderson,PHI,29,70,24,46,23.1,9.3,3.3,7.7,42.4,0.9,2.4,2.4,35.5,1.9,2.3,81,0.5,2.1,2.6,1.5,0.9,0.5,0.2,1.8,0,0,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,MIL,22,79,41,38,35.6,23.1,8.2,15.8,52.2,0.6,2.3,7.6,27.2,6,7.7,77,1.8,6.9,8.7,5.4,2.9,1.7,1.9,3.1,31,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Robinson III,IND,23,69,35,34,20.7,6.1,2.3,4.9,46.7,0.7,1.8,1.6,39.2,0.8,1.1,71.1,0.8,2.7,3.6,0.7,0.5,0.6,0.3,0.9,3,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Goran Dragic,MIA,30,71,38,33,33.6,20.3,7.3,15.3,47.6,1.6,4,5.7,40.4,4.1,5.2,79,0.8,3,3.8,5.8,2.9,1.2,0.2,2.7,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon Hayward,UTA,27,72,45,27,34.6,22,7.5,15.9,46.9,2.1,5.2,5.4,39.9,5,6,84.4,0.7,4.8,5.4,3.5,1.9,1,0.3,1.6,2,0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,
Gorgui Dieng,MIN,27,80,31,49,32.3,9.9,4,8,49.8,0.2,0.5,3.9,38.1,1.7,2.1,81.3,2.3,5.6,7.9,1.9,1.3,1.1,1.2,3.1,13,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Monroe,MIL,26,79,41,38,22.5,11.7,4.8,8.9,53.5,0,0,4.8,0,2.2,2.9,74.3,2.1,4.5,6.6,2.3,1.7,1.2,0.5,2.1,13,0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Greivis Vasquez,BKN,30,3,1,2,12.9,2.3,0.7,2.7,25,0.3,1,0.3,33.3,0.7,1,66.7,0,0.7,0.7,1.7,0.3,0.3,0.3,2,0,0,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Barnes,DAL,24,79,32,47,35.5,19.2,7.6,16.2,46.8,1,2.8,6.6,35.1,3.1,3.6,86.1,1.2,3.8,5,1.5,1.3,0.8,0.2,1.6,1,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Hassan Whiteside,MIA,27,75,37,38,32.6,16.8,7,12.6,55.6,0,0,7.0,0,2.9,4.5,62.9,3.8,10.2,14,0.7,2,0.7,2.1,2.9,56,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
Henry Ellenson,DET,20,17,8,9,6.5,2.6,1,2.9,34,0.5,1.6,0.7,28.6,0.2,0.2,100,0.4,1.5,1.9,0.4,0.6,0,0.1,0.3,1,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Hollis Thompson,NOP,26,40,12,28,18.8,5.1,1.9,5,38.5,0.8,2.4,1.1,33.7,0.5,0.7,65.5,0.5,2.3,2.8,0.9,0.3,0.5,0.2,1.7,0,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Clark,GSW,26,75,62,13,14.6,6.9,2.8,5.6,49.6,0.8,2.1,1.9,38.9,0.6,0.8,75.4,0.3,1.3,1.6,1.1,0.7,0.5,0.1,1,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Mahinmi,WAS,30,30,18,12,17.8,5.6,2.1,3.5,58.5,0,0,2.1,0,1.4,2.5,57.3,1.5,3.1,4.6,0.5,1.1,1,0.7,2.9,0,0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Iman Shumpert,CLE,26,74,48,26,25.2,7.4,2.6,6.4,40.9,1.3,3.5,1.4,36.6,0.9,1.1,79.3,0.5,2.4,2.9,1.4,1,0.8,0.4,2,0,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Canaan,CHI,25,38,18,20,15.4,4.6,1.6,4.5,36.5,0.6,2.4,1.0,26.1,0.7,0.8,90.3,0.2,1.1,1.3,0.9,0.6,0.6,0,0.9,0,0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Taylor,HOU,22,2,2,0,13.6,1.5,0.5,2,25,0,1,0.3,0,0.5,1,50,0,1,1,0,0,0.5,0.5,2.5,0,0,-6,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Thomas,BOS,28,74,49,25,34,29.2,9,19.5,46.4,3.3,8.5,5.8,38.3,7.8,8.6,90.9,0.5,2.1,2.7,5.9,2.8,0.9,0.2,2.2,5,0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Whitehead,BKN,22,71,17,54,22.4,7.5,2.8,6.9,40.6,0.6,2,2.2,30.1,1.3,1.6,82,0.5,2.1,2.5,2.6,1.9,0.6,0.5,2.4,1,0,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,
Ish Smith,DET,28,79,37,42,23.9,9.1,4,9.1,43.9,0.3,1.2,3.7,27.6,0.8,1.2,69.8,0.2,2.7,2.9,5.1,1.4,0.8,0.4,1.6,2,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Ivica Zubac,LAL,20,38,8,30,16,7.5,3.3,6.3,52.9,0,0.1,3.3,0,0.8,1.3,65.3,1.1,3.1,4.2,0.8,0.8,0.4,0.9,1.7,4,0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,
J.J. Barea,DAL,32,34,11,23,21.9,10.8,4,9.7,41.6,1.5,4.1,#N/A,35.7,1.3,1.5,86.3,0.3,2.1,2.4,5.4,1.8,0.4,0,0.9,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Jabari Parker,MIL,22,51,22,29,33.9,20.1,7.8,16,49,1.3,3.5,6.5,36.5,3.2,4.3,74.3,1.5,4.6,6.2,2.8,1.8,1,0.4,2.2,2,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Jae Crowder,BOS,26,70,46,24,32.5,13.9,4.6,10,46,2.2,5.5,2.4,39.4,2.5,3.1,81.4,0.7,5.1,5.7,2.1,1.1,1,0.3,2.3,7,0,4.7,,,,,,,,,,,,,,,,,,,,,,,,,
Jahlil Okafor,PHI,21,50,15,35,22.7,11.8,4.8,9.4,51.4,0,0,4.8,0,2.1,3.2,67.1,1.6,3.2,4.8,1.2,1.8,0.4,1,2.4,2,0,-6.4,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Layman,POR,23,33,15,18,5.5,1.9,0.6,1.9,31.3,0.3,1.3,0.4,26.2,0.4,0.5,76.5,0.1,0.4,0.5,0.2,0.2,0.2,0.1,0.6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Jakob Poeltl,TOR,21,53,37,16,11.4,3,1.2,2.1,57.1,0,0,1.2,0,0.6,1,54.5,1.4,1.6,3,0.2,0.5,0.3,0.4,2,0,0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Crawford,LAC,37,80,49,31,26.3,12.2,4.4,10.6,41.1,1.4,3.9,3.0,35.8,2.1,2.4,85.1,0.2,1.4,1.6,2.6,1.7,0.8,0.2,1.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Jamal Murray,DEN,20,80,38,42,21.1,9.7,3.5,8.7,40.2,1.4,4.1,2.2,32.9,1.3,1.5,88,0.5,2.1,2.6,1.9,1.4,0.6,0.3,1.5,0,0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
Jameer Nelson,DEN,35,75,34,41,27.3,9.2,3.6,8.1,44.4,1.4,3.6,2.2,38.8,0.6,0.8,71.4,0.4,2.2,2.6,5.1,1.7,0.7,0.1,2.6,4,0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,
James Ennis III,MEM,26,64,32,32,23.4,6.7,2.3,5,45.5,0.8,2.1,1.5,37.2,1.3,1.7,78.2,1.1,3,4,1,0.9,0.7,0.3,2.6,1,0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
James Harden,HOU,27,79,53,26,36.5,29.3,8.4,19.1,43.9,3.2,9.4,5.1,34.6,9.3,10.9,85.1,1.2,6.9,8.1,11.3,5.8,1.5,0.5,2.6,63,21,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
James Johnson,MIA,30,74,38,36,27.2,12.8,4.8,10,48,1.2,3.3,3.7,35,2,2.9,70.3,0.9,4.1,4.9,3.5,2.2,1,1.1,2.5,4,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
James Jones,CLE,36,47,28,19,7.3,2.6,0.9,1.6,53.9,0.6,1.1,0.3,55.6,0.2,0.4,64.7,0,0.6,0.7,0.3,0.2,0.1,0.2,0.7,0,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,
James Michael McAdoo,GSW,24,50,42,8,8.5,2.7,1.2,2.2,53.2,0,0.1,1.2,16.7,0.4,0.8,47.5,0.6,1,1.7,0.3,0.4,0.3,0.5,0.9,0,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,
James Young,BOS,21,28,15,13,7.7,2.4,0.9,2,43.9,0.4,1.2,0.4,35.3,0.2,0.3,71.4,0.2,0.7,0.9,0.1,0.1,0.4,0.1,0.5,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,
JaMychal Green,MEM,26,76,40,36,27.4,9,3.3,6.5,50.1,0.7,1.9,2.5,38,1.8,2.2,80.2,2.2,4.9,7.1,1.1,1.2,0.6,0.4,3.2,10,0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Dudley,PHX,31,64,17,47,21.3,6.8,2.5,5.4,45.4,1.2,3.2,1.3,37.9,0.7,1,66.2,0.5,3,3.5,1.9,1.1,0.7,0.3,2.4,0,0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Sullinger,TOR,25,11,2,9,10.7,3.4,1.4,4.3,31.9,0.3,1.6,1.1,16.7,0.4,0.7,50,0.9,1.5,2.5,0.3,0.4,0.4,0.1,1.5,0,0,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,
Jarell Eddie,PHX,25,5,0,5,12.5,4.8,1.2,3.8,31.6,0.8,3.2,0.4,25,1.6,1.8,88.9,0.2,1.2,1.4,0,0.2,0.2,0,0.2,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
Jarell Martin,MEM,22,41,23,18,13.5,3.9,1.4,3.6,38.8,0.2,0.6,1.2,36,0.9,1.2,79.2,0.9,2.9,3.8,0.2,0.7,0.4,0.2,2.2,1,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Jarnell Stokes,DEN,23,2,0,2,3.3,1.5,0.5,0.5,100,0,0,0.5,0,0.5,1,50,0.5,0.5,1,1,0,0.5,0,1.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrett Jack,NOP,33,2,1,1,16.5,3,1,1.5,66.7,0,0.5,1.0,0,1,1,100,0,0,0,2.5,1.5,1,0,2,0,0,-3,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrod Uthoff,DAL,23,7,1,6,10.9,3.4,1.4,4.3,33.3,0.3,1,1.4,28.6,0.3,0.4,66.7,1.1,1.4,2.6,0.6,0.4,0.3,0.4,0.9,0,0,-8.1,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Smith,WAS,31,72,44,28,14.4,5.7,2.4,4.5,53,0.5,1.1,1.9,48.7,0.5,0.7,69.4,0.9,2.6,3.5,0.5,0.8,0.3,0.7,2.3,0,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Terry,MIL,39,72,36,36,18.6,4,1.4,3.3,42.3,0.9,2.3,0.4,41.5,0.3,0.4,82.8,0.2,1.2,1.4,1.3,0.5,0.6,0.3,1.3,0,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
JaVale McGee,GSW,29,75,61,14,9.4,6,2.6,4.1,64.5,0,0,2.7,0,0.7,1.4,50.9,1.3,1.8,3.1,0.2,0.5,0.2,0.9,1.4,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Brown,BOS,20,76,48,28,17.1,6.6,2.4,5.4,45.6,0.6,1.7,1.9,34.6,1.1,1.6,69.1,0.6,2.3,2.8,0.8,0.9,0.4,0.2,1.9,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Green,ORL,30,69,26,43,22.2,9.2,3.2,8.1,39.4,0.8,2.8,2.4,27.5,2.1,2.4,86.3,0.6,2.5,3.1,1.2,1.1,0.5,0.2,1.5,1,0,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Teague,IND,28,80,40,40,32.4,15.3,4.9,11.2,43.9,1.1,3.1,3.8,35.9,4.3,5,87,0.4,3.7,4.1,7.8,2.7,1.2,0.4,2,16,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Withey,UTA,27,50,32,18,8.5,2.9,1.1,2,53.5,0,0,1.1,0,0.7,0.9,76.1,1,1.4,2.4,0.1,0.3,0.3,0.6,1,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Jerami Grant,OKC,23,78,42,36,19.1,5.4,1.9,4.1,45.7,0.5,1.4,1.4,36.3,1.1,1.8,60.8,0.5,2,2.5,0.6,0.6,0.4,1,1.8,0,0,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Lamb,CHA,24,60,27,33,18.2,9.5,3.6,7.7,46.2,0.7,2.3,3.0,29.2,1.7,2.1,84.6,0.4,3.8,4.3,1.2,0.6,0.4,0.4,1.6,1,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Lin,BKN,28,35,13,22,24.3,14.2,4.9,11.2,43.7,1.6,4.3,3.3,37.1,2.8,3.5,79.8,0.2,3.3,3.5,5.1,2.4,1.2,0.4,2.1,2,0,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,
Jerian Grant,CHI,24,61,27,34,16,5.7,2,4.6,42.2,0.8,2,1.3,36.8,1,1.2,88.9,0.3,1.4,1.7,1.8,0.7,0.7,0.1,1.5,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Jerryd Bayless,PHI,28,3,1,2,23.8,11,3.7,10.7,34.4,0.7,1.7,3.0,40,3,3.3,90,1,3,4,4.3,3,0,0,1.3,0,0,-7,,,,,,,,,,,,,,,,,,,,,,,,,
