Player,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,2PM,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,GP RANK,W RANK,L RANK,MIN RANK,PTS RANK,FGM RANK,FGA RANK,FG% RANK,3PM RANK,3PA RANK,3P% RANK,FTM RANK,FTA RANK,FT% RANK,OREB RANK,DREB RANK,REB RANK,AST RANK,TOV RANK,STL RANK,BLK RANK,PF RANK,DD2 RANK,TD3 RANK,+/- RANK
Mike Muscala,ATL,25,68,35,33,17.6,6.1,2.4,4.8,50,0.6,1.6,1.8,41.5,0.7,0.9,75.8,1.1,2.4,3.5,1.3,0.8,0.4,0.6,1.4,0,0,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Scott,ATL,28,18,7,11,10.8,2.5,0.9,3.3,28.8,0.2,1.5,0.7,14.8,0.4,0.4,87.5,0.6,1.5,2.1,0.9,0.4,0.2,0.2,0.7,0,0,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Tobey,CHA,22,2,0,2,12.6,1,0.5,2,25,0,0,0.5,0,0,0,0,1,0.5,1.5,0.5,0.5,0,0,1,0,0,-8.5,,,,,,,,,,,,,,,,,,,,,,,,,
Miles Plumlee,CHA,28,43,19,24,10.2,2.5,1,2,50,0,0,1.0,0,0.6,0.9,64.1,0.7,1.2,1.9,0.5,0.7,0.4,0.3,1.5,0,0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Mindaugas Kuzminskas,NYK,27,67,23,44,14.9,6.2,2.3,5.4,42.5,0.8,2.5,1.5,31.9,0.8,1,80.3,0.7,1.2,1.8,1,0.7,0.4,0.2,1.2,0,0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Mirza Teletovic,MIL,31,68,35,33,16.1,6.5,2.3,6,38,1.5,4.4,0.7,34.8,0.5,0.6,76.7,0.2,2.2,2.3,0.7,0.5,0.2,0.2,1.5,0,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Monta Ellis,IND,31,72,37,35,27.1,8.7,3.4,7.6,44.7,0.6,1.9,2.8,32.1,1.3,1.8,72.7,0.3,2.5,2.8,3.2,1.8,1.1,0.4,2,0,0,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,
Montrezl Harrell,HOU,23,57,39,18,18.1,9,3.8,5.8,65.5,0,0.1,3.9,16.7,1.3,2.1,63,1.4,2.3,3.6,1.1,0.8,0.4,0.7,2.2,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,
Myles Turner,IND,21,79,40,39,31.4,14.4,5.5,10.7,50.9,0.5,1.4,5.0,35.1,3,3.7,80.2,1.7,5.5,7.2,1.3,1.3,0.9,2.1,3.2,14,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Nemanja Bjelica,MIN,28,65,28,37,18.3,6.2,2.3,5.5,42.4,0.9,2.7,1.5,31.6,0.7,0.9,73.8,0.9,2.9,3.8,1.2,0.9,0.6,0.3,2.4,3,0,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Nene,HOU,34,66,46,20,17.9,9.1,3.7,5.9,61.8,0,0.1,#N/A,33.3,1.7,3,59,1.4,2.8,4.2,1,1.1,0.8,0.6,2.5,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,
Nerlens Noel,DAL,23,49,23,26,20.5,8.7,3.6,6,59.7,0,0,3.6,0,1.5,2.2,69.4,1.8,3.9,5.8,1,1,1.3,1,2.6,3,0,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Collison,OKC,36,18,9,9,6.2,1.3,0.5,0.9,56.3,0,0,0.7,0,0.3,0.4,62.5,0.4,1.1,1.4,0.6,0.2,0.1,0.1,0.8,0,0,-1.6,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Young,LAL,31,60,19,41,25.9,13.2,4.5,10.6,43,2.8,7,1.7,40.4,1.3,1.5,85.6,0.4,1.9,2.3,1,0.6,0.6,0.2,2.3,0,0,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Batum,CHA,28,75,35,40,34.4,15.4,5.2,12.8,40.4,1.8,5.3,3.4,33.4,3.2,3.8,86.2,0.6,5.7,6.3,5.9,2.6,1.1,0.4,1.5,15,1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Brussino,DAL,24,52,17,35,8.8,2.5,0.9,2.5,35.9,0.5,1.6,0.4,28.9,0.3,0.4,73.7,0.5,1.2,1.6,0.8,0.4,0.3,0.2,0.8,0,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas Laprovittola,SAS,27,18,15,3,9.7,3.3,1.1,2.6,42.6,0.6,1.5,0.6,37,0.5,0.5,100,0.1,0.5,0.6,1.6,1.1,0.2,0.1,1.1,0,0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Nik Stauskas,PHI,23,78,27,51,27.3,9.3,3.1,7.9,39.7,1.6,4.5,1.5,36.7,1.4,1.8,80.1,0.3,2.6,2.8,2.3,1.6,0.6,0.4,1.8,0,0,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Jokic,DEN,22,71,35,36,27.9,16.7,6.8,11.7,57.8,0.6,1.9,6.2,32.4,2.5,3,82.7,2.9,6.8,9.8,4.9,2.3,0.8,0.7,2.9,38,6,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Mirotic,CHI,26,68,35,33,24,10.6,3.7,8.8,41.4,1.8,5.3,1.8,34.2,1.4,1.8,77.6,0.8,4.6,5.4,1,1.2,0.7,0.8,1.8,8,0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Vucevic,ORL,26,73,26,47,28.9,14.6,6.4,13.7,46.8,0.3,1,6.1,27.8,1.5,2.2,67.1,2.3,8.1,10.4,2.8,1.6,1,1,2.4,36,0,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Vonleh,POR,21,72,37,35,16.5,4.2,1.7,3.5,47,0.1,0.3,1.7,35,0.8,1.3,63.7,1.6,3.4,5,0.4,0.9,0.4,0.4,2.1,2,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
Norman Powell,TOR,23,75,46,29,17.8,8.1,2.9,6.6,44,0.7,2.2,2.3,31.5,1.7,2.1,79,0.3,1.9,2.2,1.1,0.9,0.7,0.2,1.7,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
Norris Cole,OKC,28,11,4,7,7.9,2.4,0.9,2.9,31.3,0.2,0.7,1.0,25,0.4,0.4,100,0,0.6,0.6,1,0.6,0.4,0,1.2,0,0,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,
Okaro White,MIA,24,33,24,9,13.5,2.9,1,2.5,39.5,0.4,0.9,0.6,38.7,0.6,0.7,90.9,0.8,1.7,2.5,0.6,0.5,0.3,0.3,1.5,0,0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
Omer Asik,NOP,30,31,12,19,15.6,2.7,1,2.1,47.7,0,0,1.0,0,0.7,1.3,59,1.5,3.7,5.3,0.5,0.5,0.2,0.3,1.6,1,0,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Omri Casspi,MIN,28,34,12,22,17.8,5.1,2.1,4.6,45.9,0.4,1.2,1.7,33.3,0.5,0.8,63,0.7,2.4,3.1,1,0.8,0.6,0.1,1.4,0,0,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Otto Porter Jr.,WAS,23,79,48,31,32.8,13.5,5.2,10.1,51.6,1.9,4.3,3.3,43.7,1.2,1.5,82.8,1.5,4.9,6.4,1.5,0.6,1.5,0.5,2.4,12,0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
